nces_id,ai_code,name,city,state,zip,num_teachers,num_students
360011903078,330737,SCHOOL FOR LEGAL STUDIES,BROOKLYN,NY,11211,1,15
360011906033,330463,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,BROOKLYN,NY,11206,1,17
360012205879,331939,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,FLUSHING,NY,11355,1,16
360012302013,334392,JOHN ADAMS HIGH SCHOOL,OZONE PARK,NY,11417,1,25
360015101916,330743,HIGH SCHOOL OF TELECOMMUNICATIONS ARTS AND TECHNOL,BROOKLYN,NY,11220,1,33
360015201906,330550,ABRAHAM LINCOLN HIGH SCHOOL,BROOKLYN,NY,11235,1,14
360015202888,330903,WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,BROOKLYN,NY,11235,1,12
360015205827,330939,HIGH SCHOOL OF SPORTS MANAGEMENT,BROOKLYN,NY,11214,1,10
360015805847,333404,DEMOCRACY PREPARATORY CHARTER SCHOOL,NEW YORK,NY,10030,1,19
360016505889,330978,HYDE LEADERSHIP CHARTER SCHOOL,BRONX,NY,10474,1,16
361335001099,332230,HAMBURG HIGH SCHOOL,HAMBURG,NY,14075,1,25
362331003265,334560,PLEASANTVILLE HIGH SCHOOL,PLEASANTVILLE,NY,10570,1,23
362505003470,334920,ROSLYN HIGH SCHOOL,ROSLYN HEIGHTS,NY,11577,1,21
362865003889,334220,SLEEPY HOLLOW HIGH SCHOOL,SLEEPY HOLLOW,NY,10591,1,17
362928003944,335668,UNIONDALE HIGH SCHOOL,UNIONDALE,NY,11553,1,9
363147004217,335984,WILLIAMSVILLE EAST HIGH SCHOOL,EAST AMHERST,NY,14051,1,24
363147004218,335983,WILLIAMSVILLE NORTH HIGH SCHOOL,WILLIAMSVILLE,NY,14221,1,19
370075000306,340258,CHATHAM CENTRAL HIGH,BEAR CREEK,NC,27207,1,17
370180000742,342985,J. F. WEBB HIGH,OXFORD,NC,27565,1,27
370180002812,340949,S GRANVILLE HS OF INTEG TECH & LEAD,CREEDMOOR,NC,27522,1,13
370180002829,343809,GRANVILLE CENTRAL HIGH,STEM,NC,27581,1,12
370268002196,,LCST,LINCOLNTON,NC,28092,1,27
370502002000,344373,JAMES HUNT HIGH,WILSON,NC,27893,1,13
390454002203,362405,MCCLAIN HIGH SCHOOL,GREENFIELD,OH,45123,1,8
390463802535,360495,BLANCHESTER HIGH SCHOOL,BLANCHESTER,OH,45107,1,5
390470005566,365841,REYNOLDSBURG HIGH SCHOOL ESTEM,REYNOLDSBURG,OH,43068,1,47
390470005655,365782,REYNOLDSBURG HS HEALTH SCIENCES & HUMAN SERVICES A,REYNOLDSBURG,OH,43068,1,8
390493703574,363965,OTTAWA-GLANDORF HIGH SCHOOL,OTTAWA,OH,45875,1,5
402754001453,373250,SHATTUCK HS,SHATTUCK,OK,73858,1,8
