id,Name,Scientific Name,Conservation Status,Primary Color,Diet,Image of Range,Image of Bird
45,Hoatzin,Ophisthocomus hoazin,Least Concern,Brown,"leaves, fruit, flowers",https://upload.wikimedia.org/wikipedia/commons/9/90/Hoatzin_%28Opisthocomus_hoazin%29_world.png,https://wildlatitudes.com/wp-content/uploads/Hoatzin_by_Murray-Foubister.jpg
46,Kakapo,Strigops habroptilus,Critically Endangered,Green,"plants, seeds, fruits, pollen",https://www.biographic.com/wp-content/uploads/2019/11/new-zealand-map.png,https://www.pbs.org/wnet/nature/files/2014/08/1200468kpo10-1024x682.jpg
47,King Vulture,Sarcoramphus papa,Least Concern,White,"carcasses, dead fish, dead lizards",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/King_Vulture.png/330px-King_Vulture.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIvgz4jXeQSVtLJGvrgs-8lwaTVKUXFO-kbw&usqp=CAU
48,Laughing Falcon,Herpetotheres cachinnans,Least Concern,Brown,"snakes, lizards, rodents",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Herpetotheres_cachinnans_map.svg/330px-Herpetotheres_cachinnans_map.svg.png,https://olivemacawparrotsfarm.com/wp-content/uploads/2019/11/Laughing-Falcon-Herpetotheres-cachinnans.jpg
49,Laughing Kookaburra,Dacelo novaeguineae,Least Concern,Brown,"mice, insects, fish",https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Distribution_laughing_kookaburra.jpg/330px-Distribution_laughing_kookaburra.jpg,https://animals.sandiegozoo.org/sites/default/files/2016-11/animals_hero_kookaburra.jpg
50,Lear's Macaw,Anodorhynchus leari,Endangered,Blue,licuri palm nuts,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Distribuicao-geografica-anodorhynchus-lean.png/220px-Distribuicao-geografica-anodorhynchus-lean.png,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/188555631/1800
51,Little Spotted Kiwi,Apteryx owenii,Near Threatened,Brown,"grubs, insects, berries",https://www.oiseaux.net/maps/svg/kiwi.d.owen.svg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1CTaVtQcXuxJV6tI0N9ZTbdML_Xep99yWAg&usqp=CAU
52,Macaroni Penguin,Eudyptes chrysolophus,Vulnerable,White,"crustaceans, squid, fish",https://i.pinimg.com/originals/ce/0d/d9/ce0dd9d7f41869042373ed5887d7c516.jpg,https://www.animalspot.net/wp-content/uploads/2014/07/Macaroni-Penguin-Images.jpg
53,Mallard,Anas platyrhynchos,Least Concern,Brown,"insects, worms, crustaceans, seeds, plants",https://upload.wikimedia.org/wikipedia/commons/1/18/Mallard_Duck_Range.png,https://upload.wikimedia.org/wikipedia/commons/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg
54,Mourning Dove,Zenaida macroura,Least Concern,Brown,"seeds, snails, insects",https://www.swartzentrover.com/cotor/Photos/Hiking/Birds/BirdPages/MourningDovemap.gif,https://upload.wikimedia.org/wikipedia/commons/b/b7/Mourning_Dove_2006.jpg
55,Narcissus Flycatcher,Ficedula narcissina,Least Concern,Yellow,Insects,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/FicedulaZanthopygiaMap.svg/330px-FicedulaZanthopygiaMap.svg.png,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158687851/1800
