name_s,url_s,kind_s,codeorg_b,csedweek_b,hourofcode_b,description_t
Transforma Espana,http://ftransformaespana.es/,international,TRUE,FALSE,TRUE,
UPSITF,https://upsitf.org/,international,TRUE,FALSE,TRUE,
Vaata Maailma SA,http://www.vaatamaailma.ee/,international,TRUE,FALSE,TRUE,
Wix,https://www.wix.com/,international,TRUE,FALSE,TRUE,
World Tech Makers,http://worldtechmakers.com/,international,TRUE,FALSE,TRUE,
Zariah Elizabeth Foundation,http://tzefoundation.org/,international,TRUE,FALSE,TRUE,
Accenture,https://www.accenture.com/us-en/?c=ad_usglbprioritypsgs&n=Accenture_Core_Business_-_US&KW_ID=s3eh86k17_dc|pcrid|66973976537,major,FALSE,FALSE,TRUE,
Amazon,https://www.amazon.com/,major,TRUE,FALSE,TRUE,
Association for Computing Machinery,https://www.acm.org/,major,TRUE,FALSE,TRUE,
College Board,https://www.collegeboard.org/,major,TRUE,FALSE,FALSE,
Common Sense Education,https://www.commonsense.org/education/,major,TRUE,FALSE,FALSE,
Computer Science Teachers Association,https://www.csteachers.org/,major,TRUE,FALSE,TRUE,
CSforAll,https://www.csforall.org/,major,TRUE,FALSE,TRUE,
Donors Choose,https://www.donorschoose.org/,major,TRUE,FALSE,TRUE,
Ecep,https://ecepalliance.org/,major,TRUE,FALSE,FALSE,
Facebook,https://www.facebook.com/,major,TRUE,FALSE,TRUE,
Google,http://www.google.com,major,TRUE,FALSE,TRUE,
Infosys Foundation USA,http://www.infosys.com/infosys-foundation/infosys-usa-foundation,major,TRUE,FALSE,TRUE,
ISTE,https://www.iste.org/,major,TRUE,FALSE,FALSE,
Khan Academy,https://www.khanacademy.org/,major,TRUE,FALSE,TRUE,
Microsoft,https://www.microsoft.com,major,TRUE,FALSE,TRUE,
National Math + Science Initiative,http://www.nms.org/,major,TRUE,FALSE,FALSE,
Pluralsight One,https://www.pluralsightone.org,major,TRUE,FALSE,FALSE,
PricewaterhouseCoopers,https://www.pwc.com/,major,TRUE,FALSE,TRUE,
Teach For America,https://www.teachforamerica.org/,major,TRUE,FALSE,TRUE,
Uber,https://www.uber.com/,major,TRUE,FALSE,FALSE,
Vista Equity Partners,https://www.vistaequitypartners.com/,major,TRUE,FALSE,TRUE,
A Plus College Ready,http://www.apluscollegeready.org/,pl-partner,TRUE,FALSE,FALSE,
Advance Kentucky,http://www.advancekentucky.com/,pl-partner,TRUE,FALSE,FALSE,
Alaska Staff Development Network,http://www.asdn.org/,pl-partner,TRUE,FALSE,FALSE,
Allegheny Intermediate Unit,http://www.aiu3.net/,pl-partner,TRUE,FALSE,FALSE,
Arizona Science Center,https://www.azscience.org/,pl-partner,TRUE,FALSE,FALSE,
BATEC,http://batec.org/,pl-partner,TRUE,FALSE,FALSE,
Battelle Education,https://www.battelle.org/battelle-stem,pl-partner,TRUE,FALSE,FALSE,
Broward County Public Schools,http://www.browardschools.com/,pl-partner,TRUE,FALSE,FALSE,
University of Texas at Austin,https://www.tacc.utexas.edu/,pl-partner,TRUE,FALSE,FALSE,
Charles County Public Schools,http://www.ccboe.com/,pl-partner,TRUE,FALSE,FALSE,
