School Name,School Code
Widefield High School,60299
Mesa Ridge High School,60259
Steamboat Springs High School,61310
Summit County High School,60135
Telluride Middle High School,61350
Stargate Charter School,61365
Northglenn High School,60429
Legacy High School,60163
Mountain Range High School,61437
Custer County High School,61435
Woodland Park High School,61475
Fountain Valley School,60275
Colorado Springs School,60271
Saint Mary's High School,60295
Regis Jesuit High School: Boys Division,60435
Vail Christian High School,60499
Sacred Heart High School,70845
Sacred Heart Academy,70263
Mercy High School,70398
Kent School,70330
Salisbury School,70655
Brunswick School,70219
Hopkins School,70490
Bullard Havens Technical High School,70050
Howell Cheney Technical High School,70375
Platt Technical High School,70426
Vinal Technical High School,70405
W F Kaynor Technical High School,70855
Windham Technical High School,70935
Avon High School,70008
Berlin High School,70020
Bethel High School,70025
Bloomfield High School,70030
Bolton High School,70038
Central High School,70055
Information Technology & Software Engineering High School,70073
Academy of Aerospace and Engineering,70471
The Academy of Science and Innovation,70949
Cheshire High School,70100
The Morgan School,70105
Cromwell High School,70118
Danbury High School,70120
Darien High School,70145
East Granby High School,70163
East Hampton High School,70165
East Hartford High School,70170
East Lyme High School,70177
Ellington High School,70643
Enfield High School,70790
Fairfield Warde High School,70186
Fairfield Ludlowe High School,70187
Farmington High School,70805
Glastonbury High School,70215
Granby Memorial High School,70217
Greenwich High School,70240
Griswold High School,70325
Robert E Fitch Senior High School,70435
Hamden High School,70260
Hrtfd Magnet Trinity College Academy,70274
Sport and Medical Sciences Academy,70291
Bulkeley High School,70315
Killingly High School,70135
Ledyard High School,70342
Manchester High School,70380
Francis T Maloney High School,70382
Middletown High School,70400
Jonathan Law High School,70423
Joseph A Foran High School,70424
Masuk High School,70753
Naugatuck High School,70440
New Canaan High School,70465
James Hillhouse High School,70495
Wilbur Cross High School,70520
Engineering and Science University Magnet Middle and High School,70282
New Milford High School,70545
Newington High School,70525
Newtown High School,70550
North Haven High School,70570
Brien McMahon High School,70698
Norwalk High School,70580
Oxford High School,70929
Terryville High School,70770
Portland High School,70620
Marine Science Magnet High School,70252
Wamogo Regional High School,70360
Lewis S Mills High School,70807
Coginchaug Regional High School,70160
Woodland Regional High School,70014
Haddam-Killingworth High School,70324
Parish Hill Junior Senior High School,70093
Amity Regional High School,70965
Rham High School,70323
Joel Barlow High School,70638
Shelton High School,70665
Simsbury High School,70675
South Windsor High School,70700
Southington High School,70690
Stamford High School,70750
Westhill High School,70751
Academy of Information Technology and Engineering (AITE),70707
Bunnell High School,70756
Stratford High School,70755
Suffield High School,70760
Thomaston High School,70775
Trumbull High School,70800
Conard High School,70887
Hall High School,70900
Weston High School,70913
Staples High School,70920
Wethersfield High School,70925
The Gilbert School,70960
Woodstock Academy,70975
"Academy of Our Lady of Mercy, Lauralton Hall",70415
Saint Bernard School,70428
Greenwich Academy,70235
Washington Latin Public Charter School,90196
Francis L Cardozo High School,90075
Woodrow Wilson High School,90230
