School Code,School Name,School Address,City,Zip,State
11858,Montevallo High School,980 Oak St,Montevallo,35115,AL
11880,Montgomery Catholic Preparatory High School,,,,AL
11885,Carver Senior High School,2001 W Fairview Ave,Montgomery,36108,AL
11892,Jefferson Davis High School,3420 Carter Hill Rd,Montgomery,36111,AL
11896,LAMP High School,215 Hall Street,Montgomery,36104,AL
11907,Park Crossing High School,8000 Park Crossing,Montgomery,36117,AL
11910,Lanier Senior High School,1756 S Court St,Montgomery,36104,AL
11927,Muscle Shoals High School,1900 E. Avalon Ave,Muscle Shoals,35661,AL
11930,Lawrence County High School,102 College St,Moulton,35650,AL
11960,Munford High School,300 Cedars Road,Munford,36268,AL
11980,Buckhorn High School,4123 Winchester Rd,New Market,35761,AL
12005,Tuscaloosa County High School,12500 Wildcat Dr,Northport,35475,AL
12055,Opelika High School,1700 Lafayette Pkwy,Opelika,36801,AL
12085,Oxford High School,1 Yellow Jacket Drive,Oxford,36203,AL
12093,Carroll High School,315 Eagle Way,Ozark,36360,AL
12135,Central High School,2400 Dobbs Dr,Phenix City,36870,AL
12220,Prattville High School,1315 Upper Kingston Rd,Prattville,36067,AL
12235,Vigor High School,913 N. Wilson Ave.,Prichard,36610,AL
12340,Lauderdale County High School,201 Cedar Street,Rogersville,35652,AL
12352,Russellville High School,1865 Waterloo Rd,Russellville,35653,AL
12365,Northside High School,19230 Northside Parkway,Northport,35475,AL
12383,Satsuma High School,1 Gator Circle,Satsuma,36572,AL
12455,Sheffield High School,2800 19th Ave,Sheffield,35660,AL
12485,Thompson High School,100 Warrior Dr,Alabaster,35007,AL
12510,Albert P Brewer High School,59 Eva Rd,Somerville,35670,AL
12530,Springville High School,8295 U S Hwy 11,Springville,35146,AL
12570,Sylacauga High School,701 N Broadway,Sylacauga,35150,AL
12615,Theodore High School,6201 Swedetown Rd,Theodore,36582,AL
12648,Sparkman High School,2616 Jeff Rd,Harvest,35749,AL
12675,Hewitt-Trussville High School,6450 Husky Parkway,Trussville,35173,AL
12685,Hillcrest High School,300 Patriot Pkwy,Tuscaloosa,35405,AL
12688,Tuscaloosa Academy,,,,AL
12689,Tuscaloosa Career & Technology Academy,,,,AL
12690,Central High School,905 15th Street,Tuscaloosa,35401,AL
12768,Vestavia Hills High School,2235 Lime Rock Rd,Vestavia Hills,35216,AL
12835,Wetumpka High School,1251 Coosa River Pkwy,Wetumpka,36092,AL
12855,Sumter Central High School,13878 U S Highway 11,York,36925,AL
20003,Dimond High School,2909 W 88th Ave,Anchorage,99502,AK
20004,Service High School,5577 Abbott Rd,Anchorage,99507,AK
20136,Susitna Valley High School,Mile 98.6 Parks Highway,Talkeetna,99676,AK
20155,Wasilla High School,701 Bogard Rd,Wasilla,99654,AK
20182,Grace Christian School,,,,AK
20286,Colony High School,9550 E Colony School Drive,Palmer,99645,AK
21080,Mat-Su Career and Technical High School,2472 N Seward Meridian Parkway,Wasilla,99654,AK
30029,Verrado High School,20050 W. Indian School Rd.,Buckeye,85396,AZ
30037,Basha High School,5990 S. Val Vista Drive,Chandler,85249,AZ
30040,Casa Grande Union High School,2730 North Trekell Road,Casa Grande,85222,AZ
30045,Chandler High School,350 N. Arizona Av.,Chandler,85225,AZ
30062,Hamilton High School,3700 S Arizona Ave.,Chandler,85248,AZ
30070,Paragon Science Academy,5580 W. Chandler Blvd.,Chandler,85226,AZ
30072,BASIS Chandler,1800 E. Chandler Blvd,Chandler,85225,AZ
30103,Coconino High School,2801 N Izabel Street,Flagstaff,86004,AZ
30208,Liberty High School,9621 W. Speckled Gecko Drive,Peoria,85383,AZ
30216,Dobson High School,1501 W Guadalupe,Mesa,85202,AZ
30219,East Valley Institute Of Technology,1601 West Main Street,Mesa,85201,AZ
30220,Mesa High School,1630 East Southern Ave,Mesa,85204,AZ
30221,Red Mountain High School,7301 East Brown Road,Mesa,85207,AZ
30223,Westwood High School,945 W Rio Salado Pkwy,Mesa,85201,AZ
30224,Mountain View High School,2700 E Brown Road,Mesa,85213,AZ
30256,Centennial High School,14388 N 79th AV,Peoria,85381,AZ
30258,Dysart High School,11425 N. Dysart Road,El Mirage,85335,AZ
30259,Ironwood High School,6051 W. Sweetwater Ave.,Glendale,85304,AZ
30262,Arizona Lutheran Academy,,,,AZ
30277,Carl Hayden High School,3333 W. Roosevelt,Phoenix,85009,AZ
30282,Maryvale High School,3415 N. 59th Ave.,Phoenix,85033,AZ
30287,Paradise Valley High School,3950 E Bell Road,Phoenix,85032,AZ
30295,Xavier College Preparatory School,,,,AZ
30316,North Canyon High School,1700 E. Union Hills,Phoenix,85024,AZ
30357,Sahuarita High School,350 W Sahuarita Rd,Sahuarita,85629,AZ
30368,Skyline High School,845 S Crismon,Mesa,85208,AZ
30392,Notre Dame Preparatory High School,,,,AZ
30455,Amphitheater High School,125 W Yavapai Road,Tucson,85705,AZ
30473,Canyon del Oro High School,25 West Calle Concordia,Oro Valley,85704,AZ
30479,Desert View High School,4101 East Valencia Road,Tucson,85706,AZ
30485,Flowing Wells High School,3725 N Flowing Wells Rd,Tucson,85705,AZ
