Budget,Company,Country,Director,Genre,Gross,Name,Rating,Released,Runtime,Score,Star,Votes,Writer,Year
28000000,EuropaCorp,USA,McG,Action,30697999,3 Days to Kill,PG-13,February,117,6.2,Kevin Costner,75138,Adi Hasak,2014
22000000,Amblin Entertainment,USA,Lasse Hallström,Comedy,54240821,The Hundred-Foot Journey,PG,August,122,7.3,Helen Mirren,61319,Steven Knight,2014
28000000,1984 Private Defense Contractors,USA,Scott Frank,Crime,26307600,A Walk Among the Tombstones,R,September,114,6.5,Liam Neeson,95753,Lawrence Block,2014
0,Les Films Séville,Canada,Xavier Dolan,Drama,3492754,Mommy,R,January,139,8.1,Anne Dorval,35841,Xavier Dolan,2014
0,BBC Films,UK,Morgan Matthews,Drama,139511,A Brilliant Young Mind,PG-13,September,111,7.2,Asa Butterfield,22615,James Graham,2014
5000000,Lutzus-Brown,USA,Richard Glatzer,Drama,18754371,Still Alice,PG-13,February,101,7.5,Julianne Moore,101773,Richard Glatzer,2014
70000000,Columbia Pictures,USA,George Clooney,Drama,78031620,The Monuments Men,PG-13,February,118,6.1,George Clooney,109977,George Clooney,2014
0,Ulrich Seidl Film Produktion GmbH,Austria,Severin Fiala,Horror,1168902,Goodnight Mommy,R,September,99,6.7,Lukas Schwarz,29190,Veronika Franz,2014
0,BBC Films,UK,Alan Rickman,Drama,551609,A Little Chaos,R,June,112,6.5,Kate Winslet,15294,Jeremy Brock,2014
4000000,Automatik Entertainment,USA,William Eubank,Sci-Fi,600896,The Signal,PG-13,July,97,6.1,Brenton Thwaites,53291,Carlyle Eubank,2014
55000000,StudioCanal,UK,Paul King,Animation,76223578,Paddington,PG,January,95,7.2,Hugh Bonneville,56480,Paul King,2014
7000000,Cinelou Films,USA,Daniel Barnz,Drama,1873547,Cake,R,January,102,6.4,Jennifer Aniston,30337,Patrick Tobin,2014
4500000,Pt. Merantau Films,Indonesia,Gareth Evans,Action,2625803,The Raid 2,R,April,150,8,Iko Uwais,93993,Gareth Evans,2014
